id,registration_number,name,email,department,phone
s-SoC-1-0,23SoC100,Student SoC 1-0,23soc100@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-1,23SoC101,Student SoC 1-1,23soc101@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-2,23SoC102,Student SoC 1-2,23soc102@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-3,23SoC103,Student SoC 1-3,23soc103@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-4,23SoC104,Student SoC 1-4,23soc104@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-5,23SoC105,Student SoC 1-5,23soc105@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-6,23SoC106,Student SoC 1-6,23soc106@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-7,23SoC107,Student SoC 1-7,23soc107@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-8,23SoC108,Student SoC 1-8,23soc108@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-9,23SoC109,Student SoC 1-9,23soc109@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-10,23SoC110,Student SoC 1-10,23soc110@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-11,23SoC111,Student SoC 1-11,23soc111@uohyd.ac.in,Main Dept,9876543210
s-SoC-1-12,23SoC112,Student SoC 1-12,23soc112@uohyd.ac.in,Main Dept,9876543210
