id,registration_number,name,email,department,phone
s-SoC-6-0,23SoC600,Student SoC 6-0,23soc600@uohyd.ac.in,M.Sc Organic Chemistry,9876543210
s-SoC-6-1,23SoC601,Student SoC 6-1,23soc601@uohyd.ac.in,M.Sc Organic Chemistry,9876543210
s-SoC-6-2,23SoC602,Student SoC 6-2,23soc602@uohyd.ac.in,M.Sc Organic Chemistry,9876543210
s-SoC-6-3,23SoC603,Student SoC 6-3,23soc603@uohyd.ac.in,M.Sc Organic Chemistry,9876543210
s-SoC-6-4,23SoC604,Student SoC 6-4,23soc604@uohyd.ac.in,M.Sc Organic Chemistry,9876543210
s-SoC-6-5,23SoC605,Student SoC 6-5,23soc605@uohyd.ac.in,M.Sc Organic Chemistry,9876543210
s-SoC-6-6,23SoC606,Student SoC 6-6,23soc606@uohyd.ac.in,M.Sc Organic Chemistry,9876543210
s-SoC-6-7,23SoC607,Student SoC 6-7,23soc607@uohyd.ac.in,M.Sc Inorganic Chemistry,9876543210
s-SoC-6-8,23SoC608,Student SoC 6-8,23soc608@uohyd.ac.in,M.Sc Inorganic Chemistry,9876543210
s-SoC-6-9,23SoC609,Student SoC 6-9,23soc609@uohyd.ac.in,M.Sc Inorganic Chemistry,9876543210
s-SoC-6-10,23SoC610,Student SoC 6-10,23soc610@uohyd.ac.in,M.Sc Inorganic Chemistry,9876543210
s-SoC-6-11,23SoC611,Student SoC 6-11,23soc611@uohyd.ac.in,M.Sc Inorganic Chemistry,9876543210
s-SoC-6-12,23SoC612,Student SoC 6-12,23soc612@uohyd.ac.in,M.Sc Inorganic Chemistry,9876543210
s-SoC-6-13,23SoC613,Student SoC 6-13,23soc613@uohyd.ac.in,M.Sc Inorganic Chemistry,9876543210
s-SoC-6-14,23SoC614,Student SoC 6-14,23soc614@uohyd.ac.in,M.Sc Physical Chemistry,9876543210
s-SoC-6-15,23SoC615,Student SoC 6-15,23soc615@uohyd.ac.in,M.Sc Physical Chemistry,9876543210
s-SoC-6-16,23SoC616,Student SoC 6-16,23soc616@uohyd.ac.in,M.Sc Physical Chemistry,9876543210
s-SoC-6-17,23SoC617,Student SoC 6-17,23soc617@uohyd.ac.in,M.Sc Physical Chemistry,9876543210
s-SoC-6-18,23SoC618,Student SoC 6-18,23soc618@uohyd.ac.in,M.Sc Physical Chemistry,9876543210
s-SoC-6-19,23SoC619,Student SoC 6-19,23soc619@uohyd.ac.in,M.Sc Physical Chemistry,9876543210
s-SoC-6-20,23SoC620,Student SoC 6-20,23soc620@uohyd.ac.in,M.Sc Physical Chemistry,9876543210
