id,registration_number,name,email,department,phone
s-SLS-1-0,23SLS100,Student SLS 1-0,23sls100@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-1,23SLS101,Student SLS 1-1,23sls101@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-2,23SLS102,Student SLS 1-2,23sls102@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-3,23SLS103,Student SLS 1-3,23sls103@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-4,23SLS104,Student SLS 1-4,23sls104@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-5,23SLS105,Student SLS 1-5,23sls105@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-6,23SLS106,Student SLS 1-6,23sls106@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-7,23SLS107,Student SLS 1-7,23sls107@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-8,23SLS108,Student SLS 1-8,23sls108@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-9,23SLS109,Student SLS 1-9,23sls109@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-10,23SLS110,Student SLS 1-10,23sls110@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-11,23SLS111,Student SLS 1-11,23sls111@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-12,23SLS112,Student SLS 1-12,23sls112@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-13,23SLS113,Student SLS 1-13,23sls113@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-14,23SLS114,Student SLS 1-14,23sls114@uohyd.ac.in,Main Dept,9876543210
s-SLS-1-15,23SLS115,Student SLS 1-15,23sls115@uohyd.ac.in,Main Dept,9876543210
