id,registration_number,name,email,department,phone
s-SoP-4-0,23SoP400,Student SoP 4-0,23sop400@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-1,23SoP401,Student SoP 4-1,23sop401@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-2,23SoP402,Student SoP 4-2,23sop402@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-3,23SoP403,Student SoP 4-3,23sop403@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-4,23SoP404,Student SoP 4-4,23sop404@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-5,23SoP405,Student SoP 4-5,23sop405@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-6,23SoP406,Student SoP 4-6,23sop406@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-7,23SoP407,Student SoP 4-7,23sop407@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-8,23SoP408,Student SoP 4-8,23sop408@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-9,23SoP409,Student SoP 4-9,23sop409@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-10,23SoP410,Student SoP 4-10,23sop410@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-11,23SoP411,Student SoP 4-11,23sop411@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-12,23SoP412,Student SoP 4-12,23sop412@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-13,23SoP413,Student SoP 4-13,23sop413@uohyd.ac.in,Main Dept,9876543210
s-SoP-4-14,23SoP414,Student SoP 4-14,23sop414@uohyd.ac.in,Main Dept,9876543210
