id,registration_number,name,email,department,phone
s-SoH-2-0,23SoH326,Navya Nair,23soh326@uohyd.ac.in,M.A English Literature,9876543126
s-SoH-2-1,23SoH327,Kiara Iyer,23soh327@uohyd.ac.in,M.A English Literature,9876543127
s-SoH-2-2,23SoH328,Saanvi Rao,23soh328@uohyd.ac.in,M.A English Literature,9876543128
s-SoH-2-3,23SoH329,Avni Verma,23soh329@uohyd.ac.in,M.A English Literature,9876543129
s-SoH-2-4,23SoH330,Priya Joshi,23soh330@uohyd.ac.in,M.A Linguistics,9876543130
s-SoH-2-5,23SoH331,Sneha Desai,23soh331@uohyd.ac.in,M.A Linguistics,9876543131
s-SoH-2-6,23SoH332,Riya Menon,23soh332@uohyd.ac.in,M.A Linguistics,9876543132
s-SoH-2-7,23SoH333,Kavya Krishnan,23soh333@uohyd.ac.in,M.A Linguistics,9876543133
s-SoH-2-8,23SoH334,Tanvi Bhat,23soh334@uohyd.ac.in,M.A Philosophy,9876543134
s-SoH-2-9,23SoH335,Ishita Agarwal,23soh335@uohyd.ac.in,M.A Philosophy,9876543135
s-SoH-2-10,23SoH336,Meera Pandey,23soh336@uohyd.ac.in,M.A Philosophy,9876543136
s-SoH-2-11,23SoH337,Pooja Malhotra,23soh337@uohyd.ac.in,M.A Philosophy,9876543137
s-SoH-2-12,23SoH338,Nisha Kapoor,23soh338@uohyd.ac.in,M.A Philosophy,9876543138
s-SoH-2-13,23SoH339,Divya Srinivasan,23soh339@uohyd.ac.in,M.A Philosophy,9876543139
