id,registration_number,name,email,department,phone
s-SoSS-1-0,23SoSS340,Rohan Mehta,23soss340@uohyd.ac.in,M.A Sociology,9876543140
s-SoSS-1-1,23SoSS341,Karthik Shah,23soss341@uohyd.ac.in,M.A Sociology,9876543141
s-SoSS-1-2,23SoSS342,Vikram Chopra,23soss342@uohyd.ac.in,M.A Sociology,9876543142
s-SoSS-1-3,23SoSS343,Rahul Banerjee,23soss343@uohyd.ac.in,M.A Sociology,9876543143
s-SoSS-1-4,23SoSS344,Siddharth Mukherjee,23soss344@uohyd.ac.in,M.A Sociology,9876543144
s-SoSS-1-5,23SoSS345,Nikhil Das,23soss345@uohyd.ac.in,M.A Political Science,9876543145
s-SoSS-1-6,23SoSS346,Varun Ghosh,23soss346@uohyd.ac.in,M.A Political Science,9876543146
s-SoSS-1-7,23SoSS347,Aditya Chatterjee,23soss347@uohyd.ac.in,M.A Political Science,9876543147
s-SoSS-1-8,23SoSS348,Aryan Roy,23soss348@uohyd.ac.in,M.A Political Science,9876543148
s-SoSS-1-9,23SoSS349,Dev Sen,23soss349@uohyd.ac.in,M.A Political Science,9876543149
s-SoSS-1-10,23SoSS350,Aarav Sharma,23soss350@uohyd.ac.in,M.A Social Work,9876543150
s-SoSS-1-11,23SoSS351,Vivaan Patel,23soss351@uohyd.ac.in,M.A Social Work,9876543151
s-SoSS-1-12,23SoSS352,Aditya Kumar,23soss352@uohyd.ac.in,M.A Social Work,9876543152
s-SoSS-1-13,23SoSS353,Vihaan Reddy,23soss353@uohyd.ac.in,M.A Social Work,9876543153
s-SoSS-1-14,23SoSS354,Arjun Singh,23soss354@uohyd.ac.in,M.A Social Work,9876543154
s-SoSS-1-15,23SoSS355,Sai Gupta,23soss355@uohyd.ac.in,M.A Social Work,9876543155
s-SoSS-1-16,23SoSS356,Arnav Nair,23soss356@uohyd.ac.in,M.A Social Work,9876543156
